condition,symptoms,causes,warnings,recommendations
Hypertension,"The patient experiences frequent headaches, dizziness, and blurred vision especially during stress., nausea","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Malaria,"High fever with shaking chills followed by sweating and extreme fatigue., muscle weakness","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Gastroenteritis,"Frequent loose stools with stomach pain, dehydration, and nausea., difficulty sleeping","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Allergic Rhinitis,"Patient experiences sneezing, runny nose, nasal congestion, and itchy eyes., loss of appetite","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Sinusitis,"Patient has facial pain, nasal congestion, headache, and thick nasal discharge., blurred vision","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Hypertension,"Persistent high blood pressure with headaches, fatigue, and occasional nosebleeds., mild headache",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Diabetes,"slow healing wounds, fatigue, frequent urination, increased thirst, irritability",genetic and environmental factors,symptoms worsening rapidly should be evaluated by a doctor,rest and stay hydrated
Migraine,"pulsating pain, vomiting, sensitivity to light, nausea, dizziness","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Hypertension,"Patient reports chest discomfort, headache, and feeling of pressure in the head., nausea","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Bronchitis,"persistent cough, mucus production, chest discomfort, shortness of breath, fatigue, nausea",immune response,seek medical help if breathing becomes difficult,take prescribed medication
Bronchitis,"persistent cough, shortness of breath, mucus production, chills",genetic and environmental factors,severe chest pain requires emergency care,monitor symptoms carefully
Dengue,"High fever with severe headache, pain behind the eyes, muscle pain, and skin rash., blurred vision","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Malaria,"Patient experiences periodic fever, chills, sweating, headache, and body aches., blurred vision","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Hypertension,"The patient experiences frequent headaches, dizziness, and blurred vision especially during stress., dry throat","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Arthritis,"Morning joint stiffness with swelling, pain, and reduced mobility., nausea","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
COVID-19,"fatigue, breathing difficulty, dry cough, loss of taste, fever, body aches","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., chills","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Malaria,"Recurrent fever episodes with nausea, headache, and muscle pain., blurred vision","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Influenza,"muscle aches, fever, chills, sore throat, difficulty sleeping",immune response,persistent high fever requires medical attention,take prescribed medication
Migraine,"sensitivity to light, severe headache, pulsating pain, vomiting, nausea, loss of appetite","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Diabetes,"slow healing wounds, frequent urination, blurred vision, fatigue, increased thirst, nausea",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
COVID-19,"fever, fatigue, loss of smell, dizziness",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Pneumonia,"chest pain, fatigue, difficulty breathing, productive cough, fever, chills","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Diabetes,"slow healing wounds, frequent urination, blurred vision, fatigue, increased thirst, dizziness","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Asthma,"chest tightness, coughing at night, shortness of breath, wheezing, breathing difficulty, fatigue","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., blurred vision","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., chills","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Malaria,"Patient experiences periodic fever, chills, sweating, headache, and body aches., dry throat",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Anemia,"Low energy levels with dizziness, shortness of breath, and fatigue., runny nose","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Tuberculosis,"Chronic cough accompanied by night sweats, fever, and loss of appetite., dry throat","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Malaria,"Recurrent fever episodes with nausea, headache, and muscle pain., runny nose","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Anemia,"Persistent tiredness with weakness, pale complexion, and rapid heartbeat., chills",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Migraine,"vomiting, sensitivity to light, pulsating pain, loss of appetite",immune response,symptoms worsening rapidly should be evaluated by a doctor,rest and stay hydrated
Anemia,"Low energy levels with dizziness, shortness of breath, and fatigue., dizziness","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
COVID-19,"fatigue, dry cough, fever, loss of smell, loss of taste, runny nose",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Influenza,"chills, sore throat, fatigue, headache, difficulty sleeping",inflammation of airways,seek medical help if breathing becomes difficult,consult a healthcare professional
Sinusitis,"Pressure around the eyes with headache, blocked nose, and fatigue., body aches","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Depression,"Long periods of sadness with fatigue, insomnia, and lack of motivation., body aches",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Bronchitis,"fatigue, mucus production, persistent cough, chest discomfort, shortness of breath, irritability",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Allergic Rhinitis,"Patient experiences sneezing, runny nose, nasal congestion, and itchy eyes., body aches","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Arthritis,"Patient reports joint pain, stiffness, swelling, and difficulty moving the joints., chills",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Bronchitis,"persistent cough, shortness of breath, mucus production, fatigue, chest discomfort, body aches","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
COVID-19,"loss of taste, dry cough, fatigue, breathing difficulty, mild headache",genetic and environmental factors,persistent high fever requires medical attention,rest and stay hydrated
Influenza,"fever, fatigue, muscle aches, headache, fatigue","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Dengue,"Severe body aches with fever, nausea, headache, and mild bleeding symptoms., blurred vision","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Sinusitis,"Patient has facial pain, nasal congestion, headache, and thick nasal discharge., runny nose",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., sweating",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Arthritis,"Morning joint stiffness with swelling, pain, and reduced mobility., blurred vision","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Influenza,"sore throat, dry cough, fever, chills, headache, dry throat",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Bronchitis,"shortness of breath, persistent cough, chest discomfort, irritability","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Malaria,"Patient experiences periodic fever, chills, sweating, headache, and body aches., sweating",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Allergic Rhinitis,"Patient experiences sneezing, runny nose, nasal congestion, and itchy eyes., fatigue","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Migraine,"vomiting, pulsating pain, severe headache, sensitivity to light, mild headache",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Gastroenteritis,"Frequent loose stools with stomach pain, dehydration, and nausea., muscle weakness","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Tuberculosis,"Long‑lasting cough with chest pain, fatigue, fever, and coughing up blood., fatigue","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Common Cold,"nasal congestion, mild fatigue, mild cough, runny nose, sore throat, muscle weakness","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Asthma,"chest tightness, breathing difficulty, shortness of breath, nausea",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Migraine,"pulsating pain, vomiting, severe headache, body aches",bacterial infection,seek medical help if breathing becomes difficult,take prescribed medication
Influenza,"sore throat, dry cough, chills, fever, runny nose",immune response,severe chest pain requires emergency care,monitor symptoms carefully
Diabetes,"blurred vision, frequent urination, slow healing wounds, runny nose",viral infection,persistent high fever requires medical attention,monitor symptoms carefully
Bronchitis,"chest discomfort, persistent cough, shortness of breath, dizziness",inflammation of airways,severe chest pain requires emergency care,consult a healthcare professional
COVID-19,"loss of taste, loss of smell, dry cough, fatigue, fever, sweating","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Influenza,"chills, fatigue, headache, muscle aches, dizziness",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Asthma,"chest tightness, coughing at night, shortness of breath, wheezing, breathing difficulty, nausea","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Migraine,"nausea, sensitivity to light, severe headache, pulsating pain, vomiting, fatigue",inflammation of airways,severe chest pain requires emergency care,seek medical advice if symptoms persist
Influenza,"chills, fever, dry cough, fatigue","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Anemia,"Low energy levels with dizziness, shortness of breath, and fatigue., irritability","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., loss of appetite",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Common Cold,"mild cough, runny nose, mild fatigue, body aches","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Asthma,"coughing at night, shortness of breath, breathing difficulty, chest tightness, difficulty sleeping","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Bronchitis,"mucus production, persistent cough, chest discomfort, shortness of breath, sweating",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Asthma,"breathing difficulty, chest tightness, coughing at night, shortness of breath, nausea","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Bronchitis,"fatigue, chest discomfort, mucus production, shortness of breath, difficulty sleeping","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Diabetes,"blurred vision, slow healing wounds, frequent urination, increased thirst, fatigue, fatigue",inflammation of airways,symptoms worsening rapidly should be evaluated by a doctor,rest and stay hydrated
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., muscle weakness",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Malaria,"Recurrent fever episodes with nausea, headache, and muscle pain., fatigue",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Sinusitis,"Patient has facial pain, nasal congestion, headache, and thick nasal discharge., loss of appetite","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Common Cold,"mild cough, runny nose, mild fatigue, dizziness","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
COVID-19,"fatigue, fever, loss of taste, breathing difficulty, dry cough, mild headache","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Asthma,"coughing at night, wheezing, shortness of breath, breathing difficulty, chest tightness, runny nose",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Asthma,"wheezing, breathing difficulty, coughing at night, loss of appetite",genetic and environmental factors,severe chest pain requires emergency care,take prescribed medication
Gastroenteritis,"Patient has diarrhea, abdominal cramps, nausea, vomiting, and mild fever., fatigue",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Asthma,"wheezing, breathing difficulty, shortness of breath, coughing at night, mild headache",bacterial infection,seek medical help if breathing becomes difficult,seek medical advice if symptoms persist
Influenza,"chills, dry cough, sore throat, fatigue",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
COVID-19,"fatigue, dry cough, fever, loss of smell, loss of taste, body aches","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Malaria,"Recurrent fever episodes with nausea, headache, and muscle pain., loss of appetite","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Depression,"Long periods of sadness with fatigue, insomnia, and lack of motivation., muscle weakness","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Depression,"Long periods of sadness with fatigue, insomnia, and lack of motivation., dizziness","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Gastroenteritis,"Sudden stomach cramps with vomiting, diarrhea, and fatigue., sweating","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Pneumonia,"fatigue, fever, productive cough, difficulty breathing, sweating","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Malaria,"High fever with shaking chills followed by sweating and extreme fatigue., mild headache",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
COVID-19,"loss of smell, fatigue, breathing difficulty, runny nose",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,seek medical advice if symptoms persist
Bronchitis,"fatigue, chest discomfort, mucus production, shortness of breath, difficulty sleeping","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., nausea","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
